Suite ID	Homepage	Suite source
CRSConverter	https://github.com/Morphy427/phylodiversity_workflow/CRSConverter	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
EstimEndem	https://github.com/Morphy427/phylodiversity_workflow/EstimEndem	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
Geometric means (Dead wood)	https://github.com/PaulineSGN/Galaxy_tool_moyenne_geom	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow
PylOccuMatcher	https://github.com/Morphy427/phylodiversity_workflow/PhylOccuMatcher	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
PyloIndex	https://github.com/Morphy427/phylodiversity_workflow/PyloIndex	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
WormsMeasurements	https://github.com/jeanlecras/tools-ecology	https://github.com/jeanlecras/tools-ecology/tree/master/tools/WormsMeasurements
abacas	https://github.com/phac-nml/abacas	https://github.com/phac-nml/abacas
assemblystats	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools
ccds_download_era5_af	https://github.com/AquaINFRA/galaxy_vre	https://github.com/AquaINFRA/galaxy_vre
cd_hit_dup		https://github.com/galaxyproject/tools-devteam/tree/master/tools/cd_hit_dup
champ_blocs		https://github.com/Marie59/champ_blocs
cmems_download_ic_bc	https://github.com/AquaINFRA/galaxy_vre	https://github.com/AquaINFRA/galaxy_vre
comebin	https://github.com/ziyewang/COMEBin	https://github.com/galaxyproject/tools-iuc/tree/main/tools/comebin
craq	https://github.com/JiaoLaboratory/CRAQ	https://github.com/galaxyproject/tools-iuc/tree/main/tools/craq
data_exploration		https://github.com/Marie59/Data_explo_tools
earth	https://github.com/Marie59/FE-ft-ESG/tree/main/earth	https://github.com/galaxyecology/tools-ecology/tree/master/tools/earth
ecoregionalization	https://github.com/PaulineSGN/Workflow_Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow
emlassemblyline	https://github.com/EDIorg/EMLassemblyline	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline
erga_ear	https://github.com/ERGA-consortium/EARs/tree/main	https://github.com/ERGA-consortium/EARs/tree/main
gdal	https://www.gdal.org	https://github.com/galaxyecology/tools-ecology/tree/master/tools/gdal
hifiasm	https://github.com/chhylp123/hifiasm	https://github.com/galaxyproject/tools-iuc/tree/main/tools/hifiasm
hirondelle_crim_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper
interpolation	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation
kegg_pathways_completeness	https://github.com/EBI-Metagenomics/kegg-pathways-completeness-tool	https://github.com/galaxyproject/tools-iuc/tree/main/tools/kegg_pathways_completeness
kneaddata	https://github.com/biobakery/kneaddata	https://github.com/galaxyproject/tools-iuc/tree/main/tools/kneaddata
lca_wrapper	https://bitbucket.org/natefoo/taxonomy	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/lca_wrapper
logan_protein	https://github.com/RolandFaure/search_protein	https://github.com/bgruening/galaxytools/tree/master/tools/search_proteins
marine_omics	https://github.com/Finn-Lab/SanntiS	https://github.com/galaxyecology/tools-ecology/tree/master/tools/marine_omics
mean_per_zone	https://github.com/NordicESMhub/galaxy-tools/blob/master/tools/mean-per-zone/	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/mean-per-zone
medenv	https://github.com/jeremyfix/medenv	https://github.com/galaxyecology/tools-ecology/tree/master/tools/medenv
merquryfk	https://github.com/thegenemyers/MERQURY.FK	https://github.com/galaxyproject/tools-iuc/tree/main/tools/merquryfk
mgnify_genome_search	https://github.com/SantaMcCloud/MGnify-genome-search	https://github.com/galaxyproject/tools-iuc/tree/main/tools/mgnify_genome_search
mitobim	https://github.com/chrishah/MITObim	https://github.com/galaxyproject/tools-iuc/tree/main/tools/mitobim
mitohifi	https://github.com/marcelauliano/MitoHiFi/tree/mitohifi_v2	https://github.com/bgruening/galaxytools/tree/master/tools/mitohifi
ncbi_egapx	https://github.com/ncbi/egapx	https://github.com/richard-burhans/galaxytools/tree/main/tools/ncbi_egapx
nfdi4earth_os4a_importer	https://onestop4all.nfdi4earth.de/	https://git.rwth-aachen.de/nfdi4earth/onestop4all/onestop4all-implementation/-/tree/develop
obisindicators	https://github.com/Marie59/obisindicators	https://github.com/galaxyecology/tools-ecology/tree/master/tools/obisindicators
ocean	https://github.com/Marie59/FE-ft-ESG/tree/main/ocean	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ocean
ogcProcess_otb_bandmath	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/OtbBandMath
ogcProcess_otb_meanShiftSmoothing	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation
pampa		https://github.com/ColineRoyaux/PAMPA-Galaxy
phi_toolkit_report	https://git.ufz.de/borimcor/phage-host-analysis	https://github.com/Helmholtz-UFZ/ufz-galaxy-tools/blob/main/tools/phi-toolkit
