Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CoralSNP	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
AggregateAlignments	graphclust_aggregate_alignments	Aggregate and filter alignment metrics of individual clusters, like the output of graphclust_align_cluster.								Up-to-date		RNA	graphclust_aggregate_alignments	2018-10-24	rnateam	https://github.com/bgruening/galaxytools/tools/GraphClust/AggregateAlignments	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/AggregateAlignments	0.6.0	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	45	119	14	17	0	0	0	0	0	0	0	0	45	119	14	17	True	False	False
AlignCluster	graphclust_align_cluster	Align predicted clusters of glob_report_no_align step with locarna and conservation analysis and visualizations.								To update		RNA	graphclust_align_cluster	2018-10-22	rnateam	https://github.com/bgruening/galaxytools/tools/GraphClust/AlignCluster	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/AlignCluster	0.1	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	189	3094	23	25	0	0	0	0	0	0	0	0	189	3094	23	25	True	False	False
CMFinder	cmFinder	Determines consensus motives for sequences.								To update		RNA	graphclust_cmfinder	2016-12-15	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CMFinder	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CMFinder	0.4	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	25532	50045	45	57	0	0	0	0	0	0	0	0	25532	50045	45	57	True	False	False
CollectResults	glob_report	Post-processing. Redundant clusters are merged and instances that belong to multiple clusters are assigned unambiguously. For every pair of clusters, the relative overlap (i.e. the fraction of instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%. instances that occur in both clusters) is computed and clusters are merged if the overlap exceeds 50%.								To update		RNA	graphclust_postprocessing	2017-01-21	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResults	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResults	0.5	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1119	2115	50	62	0	0	0	0	0	0	0	0	1119	2115	50	62	True	False	False
CollectResultsNoAlign	graphclust_glob_report_no_align	Redundant GraphClust clusters are merged and instances that belong to multiple clusters are assigned unambiguously.								To update		RNA	graphclust_postprocessing_no_align	2018-10-25	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResultsNoAlign	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/CollectResultsNoAlign	0.5	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	37	108	1	3	0	0	0	0	0	0	0	0	37	108	1	3	True	False	False
EMLassemblyline	annotations_template, eal_table_template, eal_templates, eml2eal, eml_validate, entities_template, geo_cov_template, makeeml, raster_template, taxo_cov_template, vector_template	Tools using EML Assembly Line R package to generate EML metadata from template metadata files and vice versa								To update	https://github.com/EDIorg/EMLassemblyline	Ecology	emlassemblyline	2023-12-23	ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline	0.1.0+galaxy0	r-base				0	0	11	9	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	516	516	128	128	0	0	0	0	0	0	0	0	516	516	128	128	True	False	False
Ecoregionalization_workflow	ecoregion_brt_analysis, ecoregion_GeoNearestNeighbor, ecoregion_cluster_estimate, ecoregion_clara_cluster, ecoregion_eco_map, ecoregion_taxa_seeker	Tools to compute ecoregionalization with BRT model predictions and clustering.								To update	https://github.com/PaulineSGN/Workflow_Galaxy	Ecology	ecoregionalization	2023-10-17	ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow	0.1.0+galaxy0	r-base				0	0	6	5	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	352	352	36	36	0	0	0	0	0	0	0	0	352	352	36	36	True	False	False
GAFA	gafa	Gene Align and Family Aggregator								To update	http://aequatus.tgac.ac.uk	Visualization	gafa	2016-12-15	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/GAFA/	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/GAFA	0.3.1					0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	40	47	6	6	0	0	0	0	0	0	0	0	40	47	6	6	True	False	False
GSPAN	gspan	Second step of GraphClust								To update		RNA	graphclust_fasta_to_gspan	2016-12-15	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/GSPAN	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/GSPAN	0.4	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	80	150	18	23	0	0	0	0	0	0	0	0	80	150	18	23	True	False	False
Geom_mean_workflow	Map_shp, Mean_geom, bar_plot	Tools to compute The evolution of the total volume of very large trees, standing dead wood and dead wood on the ground on an area and the rate of devolution of the volume of wood favorable to biodiversity by large ecological regions (France).								To update	https://github.com/PaulineSGN/Galaxy_tool_moyenne_geom	Ecology	Geometric means (Dead wood)	2023-11-10	ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow	0.1.0+galaxy0	r-base				0	0	3	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	53	18	18	0	0	0	0	0	0	0	0	53	53	18	18	True	False	False
LocARNAGraphClust	locarna_best_subtree	MLocARNA computes a multiple sequence-structure alignment of RNA sequences.								To update		RNA	graphclust_mlocarna	2016-12-15	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/LocARNAGraphClust	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/LocARNAGraphClust	0.4	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	25572	50177	45	57	0	0	0	0	0	0	0	0	25572	50177	45	57	True	False	False
NSPDK	NSPDK_candidateClust, nspdk_sparse	Produces an explicit sparse feature encoding and copmutes global feature index and returns top dense sets.								To update		RNA	graphclust_nspdk	2016-12-15	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/NSPDK	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/NSPDK	9.2.3.1	graphclust-wrappers	0.6.0			0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3210	62854	96	124	0	0	0	0	0	0	0	0	3210	62854	96	124	True	False	False
PAMPA	pampa_communitymetrics, pampa_presabs, pampa_glmcomm, pampa_glmsp, pampa_plotglm	Tools to compute and analyse biodiversity metrics								To update		Ecology	pampa	2020-11-13	ecology	https://github.com/ColineRoyaux/PAMPA-Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/PAMPA	0.0.2					0	5	5	5	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	1038	1038	146	146	0	0	0	0	849	849	38	38	1887	1887	184	184	True	False	True
Plotting	motifFinderPlot	Plotting results for GraphClust								To update		RNA	graphclust_motif_finder_plot	2017-02-22	rnateam	https://github.com/eteriSokhoyan/galaxytools/tree/master/tools/GraphClust/Plotting	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/Plotting	0.4	seaborn				0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	45	71	9	10	0	0	0	0	0	0	0	0	45	71	9	10	True	False	False
PrepareForMlocarna	preMloc	This tool prepares files for locarna step.								To update		RNA	graphclust_prepocessing_for_mlocarna	2016-12-15	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/PrepareForMlocarna	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/PrepareForMlocarna	0.4	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1202	2121	48	62	0	0	0	0	0	0	0	0	1202	2121	48	62	True	False	False
Preprocessing	preproc	Preprocessing input for GraphClust								To update		RNA	graphclust_preprocessing	2017-01-17	rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust	https://github.com/bgruening/galaxytools/tree/master/tools/GraphClust/Preprocessing	0.5	graphclust-wrappers	0.6.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1116	1897	57	71	0	0	0	0	0	0	0	0	1116	1897	57	71	True	False	False
