Link	Name	Source	Projects	Creators	Creation time	Update time	To keep	Deprecated
https://workflowhub.eu/workflows/1114?version=1	Genome assembly workflow for nanopore reads, for TSI	WorkflowHub	Australian BioCommons, Galaxy Australia	Anna Syme	2024-09-03	2024-09-03	True	False
https://workflowhub.eu/workflows/1096?version=2	ERGA-BGE Genome Report ANNOT analyses	WorkflowHub	ERGA Annotation	Diego De Panis	2025-02-05	2025-02-24	True	False
https://workflowhub.eu/workflows/603?version=2	ERGA Profiling Long Reads v2505 (WF1)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-09-18	2025-06-24	True	False
https://workflowhub.eu/workflows/601?version=2	ERGA DataQC Illumina v2505 (WF0)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-09-18	2025-06-01	True	False
https://workflowhub.eu/workflows/697?version=1	ERGA DataQC ONT v2505 (WF0)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-01-08	2025-06-01	True	False
https://workflowhub.eu/workflows/602?version=2	ERGA DataQC HiFi v2505 (WF0)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-09-18	2025-06-01	True	False
https://workflowhub.eu/workflows/1163?version=2	ERGA Long Reads PriAlt Purge+QC v2505 (WF3)	WorkflowHub	ERGA Assembly	Diego De Panis	2025-06-01	2025-06-01	True	False
https://workflowhub.eu/workflows/1164?version=2	ERGA HiC Pri Scaffolding+QC YaHS v2505 (WF4)	WorkflowHub	ERGA Assembly	Diego De Panis	2025-02-03	2025-06-01	True	False
https://workflowhub.eu/workflows/1162?version=2	ERGA Long reads-only Assembly+QC Hifiasm v2505 (WF2)	WorkflowHub	ERGA Assembly	Diego De Panis	2025-05-30	2025-09-09	True	False
https://workflowhub.eu/workflows/1103?version=3	ERGA-BGE Genome Report ASM analyses (one-asm WGS Illumina PE + HiC)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-11-04	2024-12-05	False	False
https://workflowhub.eu/workflows/1104?version=2	ERGA-BGE Genome Report ASM analyses (one-asm HiFi + HiC)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-11-04	2024-12-05	True	False
https://workflowhub.eu/workflows/789?version=1	ERGA ONT+Illumina Assembly+QC NextDenovo+HyPo v2403 (WF2)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-03-11	2024-03-11	False	False
https://workflowhub.eu/workflows/788?version=1	ERGA ONT+Illumina Assembly+QC Flye+HyPo v2403 (WF2)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-03-11	2024-03-11	False	False
https://workflowhub.eu/workflows/702?version=1	ERGA HiC Collapsed Scaffolding+QC YaHS v2311 (WF4)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-01-09	2024-01-09	True	False
https://workflowhub.eu/workflows/701?version=1	ERGA ONT+Illumina Collapsed Purge+QC v2311 (WF3)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-01-09	2024-01-09	True	False
https://workflowhub.eu/workflows/698?version=1	ERGA Profiling Illumina v2311 (WF1)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-01-08	2024-01-08	False	False
https://workflowhub.eu/workflows/606?version=2	ERGA HiFi Hap1Hap2 Purge+QC v2309 (WF3)	WorkflowHub	ERGA Assembly	Diego De Panis	2024-01-02	2024-03-13	False	False
https://workflowhub.eu/workflows/608?version=1	ERGA HiC Hap1Hap2 Scaffolding+QC YaHS v2309 (WF4)	WorkflowHub	ERGA Assembly	Diego De Panis	2023-10-11	2024-03-13	True	False
https://workflowhub.eu/workflows/605?version=1	ERGA HiFi+HiC Assembly+QC Hifiasm v2309 (WF2)	WorkflowHub	ERGA Assembly	Diego De Panis	2023-10-09	2024-03-13	True	False
