Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
EOSC4Cancer D2.2	WorkflowHub	1381	https://workflowhub.eu/workflows/1381?version=2	Jeanne Chèneby, Hakim Achterberg, Dario Longo, Francesco Gammaraccio, Robin Navest	eosc4cancer, galaxy, xnat, cbioportal, image processing, imaging	2025-10-21	2025-11-10	2	2	0.0			Imaging	CC-BY-4.0		EOSC4Cancer	True	False
Voronoi segmentation for Astronomy on Legacy Survey data	WorkflowHub	1730	https://workflowhub.eu/workflows/1730?version=1	Andrei Variu, Riccardo Massei, Even Moa  Myklebust 	segmentation, voronoi, astronomy, imageanaylsis	2025-06-13	2025-07-11	1	1	18.0	ip_2d_feature_extraction, repeat_channels, ip_binary_to_labelimage, colorize_labels, ip_filter_standard, ip_split_image, image_math, ip_histogram_equalization, ip_threshold, desi_legacy_survey_astro_tool, astropy_fits2bitmap, ip_overlay_images, __EXTRACT_DATASET__, ip_count_objects, ip_convertimage, voronoi_tessellation	Image annotation, Data handling, Visualisation, Image analysis	Physics	MIT	10.48546/workflowhub.workflow.1730.1	EuroScienceGateway	True	False
Ludwig - Image recognition model - MNIST	WorkflowHub	1614	https://workflowhub.eu/workflows/1614?version=1		gtn, galaxy, imagerecognition, ludwig, mnist	2025-06-02	2025-06-02	1	1	1.0	ludwig_experiment			AGPL-3.0-or-later		Galaxy Training Network	True	False
Workflow constructed from Tutorial 'Introduction to Image Analysis using Galaxy'	WorkflowHub	1532	https://workflowhub.eu/workflows/1532?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	ip_binary_to_labelimage, ip_filter_standard, ip_histogram_equalization, ip_threshold, ip_imageinfo, ip_overlay_images, ip_count_objects	Image annotation, Data handling, Visualisation, Image analysis		MIT		Galaxy Training Network	True	False
2025_2D_spot_detection	WorkflowHub	1528	https://workflowhub.eu/workflows/1528?version=1		gtn, galaxy, idr, segmentation, smfish, bioimaging	2025-06-02	2025-06-02	1	1	6.0	idr_download_by_ids, unzip, ip_histogram_equalization, ip_spot_detection_2d, ip_overlay_images, ip_points_to_label	Image annotation, Data handling, Visualisation, Image analysis		MIT		Galaxy Training Network	True	False
Image prediction with BioImage.IO model (imported from uploaded file)	WorkflowHub	1526	https://workflowhub.eu/workflows/1526?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	8.0	ip_binary_to_labelimage, image_math, ip_split_image, ip_threshold, ip_overlay_images, bioimage_inference, __EXTRACT_DATASET__	Image analysis		CC-BY-4.0		Galaxy Training Network	True	False
Voronoi segmentation	WorkflowHub	1522	https://workflowhub.eu/workflows/1522?version=1		gtn, galaxy, segmentation, voronoi, imageanaylsis	2025-06-02	2025-06-02	1	1	11.0	ip_2d_feature_extraction, repeat_channels, ip_binary_to_labelimage, colorize_labels, ip_filter_standard, image_math, ip_threshold, ip_overlay_images, ip_count_objects, ip_convertimage, voronoi_tessellation	Image annotation, Data handling, Visualisation, Image analysis		MIT		Galaxy Training Network	True	False
Segmentation_Values_Testing	WorkflowHub	1517	https://workflowhub.eu/workflows/1517?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	ip_filter_standard, ip_histogram_equalization, tp_split_on_column, ip_threshold, collapse_dataset, ip_segmetrics, param_value_from_file	Image annotation, Data handling, Visualisation, Image analysis		MIT		Galaxy Training Network	True	False
GTN_Exemplar_002_TMA_workflow_Feb2025	WorkflowHub	1514	https://workflowhub.eu/workflows/1514?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	10.0	basic_illumination, ashlar, mesmer, scimap_phenotyping, rename_tiff_channels, vitessce_spatial, unet_coreograph, scimap_mcmicro_to_anndata, quantification, ip_convertimage			MIT		Galaxy Training Network	True	False
analyze_screen	WorkflowHub	1512	https://workflowhub.eu/workflows/1512?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	2.0	, collapse_dataset			MIT		Galaxy Training Network	True	False
feature_extraction	WorkflowHub	1508	https://workflowhub.eu/workflows/1508?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	6.0	ip_binary_to_labelimage, ip_filter_standard, ip_2d_filter_segmentation_by_features, ip_threshold, ip_2d_feature_extraction	Image annotation, Data handling, Visualisation, Image analysis		MIT		Galaxy Training Network	True	False
CP_pipeline_IDR_training	WorkflowHub	1505	https://workflowhub.eu/workflows/1505?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	25.0	cp_enhance_or_suppress_features, cp_common, cp_measure_texture, cp_measure_image_intensity, cp_cellprofiler, cp_gray_to_color, cp_measure_image_area_occupied, cp_save_images, cp_measure_object_size_shape, cp_display_data_on_image, cp_measure_image_quality, idr_download_by_ids, cp_mask_image, cp_measure_object_intensity, cp_identify_primary_objects, cp_convert_objects_to_image, cp_measure_granularity, cp_relate_objects, cp_image_math, cp_export_to_spreadsheet	Image analysis, Parsing, Quantification		CC-BY-4.0		Galaxy Training Network	True	False
CP_object_tracking_example	WorkflowHub	1503	https://workflowhub.eu/workflows/1503?version=1		cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	12.0	unzip, cp_tile, cp_measure_object_intensity, cp_save_images, cp_identify_primary_objects, cp_cellprofiler, cp_measure_object_size_shape, cp_common, cp_track_objects, cp_color_to_gray, cp_export_to_spreadsheet, cp_overlay_outlines	Image analysis, Parsing, Quantification		CC-BY-4.0		Galaxy Training Network	True	False
Object tracking using CellProfiler	WorkflowHub	115	https://workflowhub.eu/workflows/115?version=1		cellprofiler, galaxy, image processing, imaging	2021-03-21	2023-07-03	1	1	12.0	unzip, cp_tile, cp_measure_object_intensity, cp_save_images, cp_identify_primary_objects, cp_cellprofiler, cp_measure_object_size_shape, cp_common, cp_track_objects, cp_color_to_gray, cp_export_to_spreadsheet, cp_overlay_outlines	Image analysis, Parsing, Quantification	Bioimaging, Imaging	Apache-2.0		IBISBA Workflows, Euro-BioImaging	True	False
Nucleoli segmentation using CellProfiler (EOSC-Life D6)	WorkflowHub	41	https://workflowhub.eu/workflows/41?version=2		cellprofiler, galaxy, image processing, imaging	2020-11-03	2023-07-03	2	1	25.0	cp_enhance_or_suppress_features, cp_common, cp_measure_texture, cp_measure_image_intensity, cp_cellprofiler, cp_gray_to_color, cp_measure_image_area_occupied, cp_save_images, cp_measure_object_size_shape, cp_display_data_on_image, cp_measure_image_quality, idr_download_by_ids, cp_mask_image, cp_measure_object_intensity, cp_identify_primary_objects, cp_convert_objects_to_image, cp_measure_granularity, cp_relate_objects, cp_image_math, cp_export_to_spreadsheet	Image analysis, Parsing, Quantification	Bioimaging, Imaging	Apache-2.0		IBISBA Workflows, Euro-BioImaging, EOSC-Life WP3	True	False
