Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
EOSC4Cancer D2.2	WorkflowHub	1381	https://workflowhub.eu/workflows/1381?version=2	Jeanne Chèneby, Hakim Achterberg, Dario Longo, Francesco Gammaraccio, Robin Navest	eosc4cancer, galaxy, xnat, cbioportal, image processing, imaging	2025-10-21	2025-11-10	2	2	0.0			Imaging	CC-BY-4.0		EOSC4Cancer	True	False
Voronoi segmentation for Astronomy on Legacy Survey data	WorkflowHub	1730	https://workflowhub.eu/workflows/1730?version=1	Andrei Variu, Riccardo Massei, Even Moa  Myklebust 	segmentation, voronoi, astronomy, imageanaylsis	2025-06-13	2025-07-11	1	1	18.0	image_math, ip_overlay_images, ip_2d_feature_extraction, __EXTRACT_DATASET__, ip_split_image, desi_legacy_survey_astro_tool, ip_histogram_equalization, ip_binary_to_labelimage, ip_convertimage, ip_count_objects, ip_threshold, repeat_channels, astropy_fits2bitmap, ip_filter_standard, voronoi_tessellation, colorize_labels	Data handling, Image annotation, Image analysis, Visualisation	Physics	MIT	10.48546/workflowhub.workflow.1730.1	EuroScienceGateway	True	False
Ludwig - Image recognition model - MNIST	WorkflowHub	1614	https://workflowhub.eu/workflows/1614?version=1		gtn, galaxy, imagerecognition, ludwig, mnist	2025-06-02	2025-06-02	1	1	1.0	ludwig_experiment			AGPL-3.0-or-later		Galaxy Training Network	True	False
Workflow constructed from Tutorial 'Introduction to Image Analysis using Galaxy'	WorkflowHub	1532	https://workflowhub.eu/workflows/1532?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	ip_overlay_images, ip_imageinfo, ip_histogram_equalization, ip_binary_to_labelimage, ip_count_objects, ip_threshold, ip_filter_standard	Data handling, Image annotation, Image analysis, Visualisation		MIT		Galaxy Training Network	True	False
2025_2D_spot_detection	WorkflowHub	1528	https://workflowhub.eu/workflows/1528?version=1		gtn, galaxy, idr, segmentation, smfish, bioimaging	2025-06-02	2025-06-02	1	1	6.0	ip_points_to_label, ip_overlay_images, ip_histogram_equalization, idr_download_by_ids, unzip, ip_spot_detection_2d	Data handling, Image annotation, Image analysis, Visualisation		MIT		Galaxy Training Network	True	False
Image prediction with BioImage.IO model (imported from uploaded file)	WorkflowHub	1526	https://workflowhub.eu/workflows/1526?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	8.0	image_math, ip_overlay_images, ip_threshold, __EXTRACT_DATASET__, ip_split_image, ip_binary_to_labelimage, bioimage_inference	Image analysis		CC-BY-4.0		Galaxy Training Network	True	False
Voronoi segmentation	WorkflowHub	1522	https://workflowhub.eu/workflows/1522?version=1		gtn, galaxy, segmentation, voronoi, imageanaylsis	2025-06-02	2025-06-02	1	1	11.0	image_math, ip_overlay_images, ip_2d_feature_extraction, ip_threshold, ip_convertimage, ip_count_objects, ip_binary_to_labelimage, repeat_channels, ip_filter_standard, voronoi_tessellation, colorize_labels	Data handling, Image annotation, Image analysis, Visualisation		MIT		Galaxy Training Network	True	False
Segmentation_Values_Testing	WorkflowHub	1517	https://workflowhub.eu/workflows/1517?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	7.0	collapse_dataset, ip_histogram_equalization, param_value_from_file, tp_split_on_column, ip_threshold, ip_segmetrics, ip_filter_standard	Data handling, Image annotation, Image analysis, Visualisation		MIT		Galaxy Training Network	True	False
GTN_Exemplar_002_TMA_workflow_Feb2025	WorkflowHub	1514	https://workflowhub.eu/workflows/1514?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	10.0	rename_tiff_channels, unet_coreograph, ashlar, basic_illumination, ip_convertimage, mesmer, quantification, scimap_phenotyping, scimap_mcmicro_to_anndata, vitessce_spatial			MIT		Galaxy Training Network	True	False
analyze_screen	WorkflowHub	1512	https://workflowhub.eu/workflows/1512?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	2.0	, collapse_dataset			MIT		Galaxy Training Network	True	False
feature_extraction	WorkflowHub	1508	https://workflowhub.eu/workflows/1508?version=1		gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	6.0	ip_2d_feature_extraction, ip_binary_to_labelimage, ip_2d_filter_segmentation_by_features, ip_threshold, ip_filter_standard	Data handling, Image annotation, Image analysis, Visualisation		MIT		Galaxy Training Network	True	False
