Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper version	Conda id	Conda version
askor	askor_de	AskoR links EdgeR and AskOmics						To update	https://github.com/askomics/askoR	Transcriptomics	askor_de	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/askor	0.2	bioconductor-limma	3.58.1
baric_archive	baric_archive_rennes, baric_archive_toulouse	A data source tool to fetch data from a BARIC Archive server.						To update	https://www.cesgo.org/catibaric/	Data Source		genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/baric_archive	1.1.0		
braker	braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .						To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	2.1.6		
braker3	braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .						To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker3	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	3.0.6		
feelnc2asko	feelnc2asko	Convert FeelNC GTF to GFF3						To update	https://github.com/tderrien/FEELnc	Convert Formats	feelnc2asko	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/feelnc2asko	0.1	perl-bioperl	1.7.8
gcms2isocor	gcms2isocor	Conversion from GCMS PostRun Analysis to Isocor						To update		Metabolomics	gcms2isocor	genouest		0.1.0	openjdk	
get_pairs	get_pairs	Separate paired and unpaired reads from two fastq files						To update		Fastq Manipulation	get_pairs	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/get_pairs	0.3	python	
helixer	helixer	Gene calling with Deep Neural Networks						To update	https://github.com/weberlab-hhu/Helixer	Genome annotation	helixer	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	0.3.2		
logol	logol_wrapper	Logol is a pattern matching grammar language and a set of tools to search a pattern in a sequence						Up-to-date	http://logol.genouest.org/web/app.php/logol	Sequence Analysis		genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/logol	1.7.8	logol	1.7.8
meneco	meneco	Meneco computes minimal completions to your draft network with reactions from a repair network						Up-to-date	http://bioasp.github.io/meneco/	Systems Biology	meneco	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/meneco	1.5.2	meneco	1.5.2
miranda2asko	miranda2asko	Converts miRanda output into AskOmics format						To update		Convert Formats	miranda2asko	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/miranda2asko	0.2	perl	
openlabcds2csv	openlabcds2csv	"Creates a summary of several ""Internal Standard Report"" OpenLabCDS results."						To update		Metabolomics	openlabcds2csv	genouest		0.1.0	openjdk	
peptimapper	peptimapper_clustqualify, peptimapper_clust_to_gff, peptimapper_pep_match, peptimapper_pep_novo_tag	Proteogenomics workflow for the expert annotation of eukaryotic genomes						To update	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-5431-9	Proteomics		genouest		2.0		
Ensembl-REST	get_feature_info, get_genetree, get_sequences	A suite of Galaxy tools designed to work with Ensembl REST API.						To update	https://rest.ensembl.org	Data Source		earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/Ensembl-REST	0.1.2	requests	
GAFA	gafa	Gene Align and Family Aggregator						To update	http://aequatus.tgac.ac.uk	Visualization	gafa	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/GAFA/	0.3.1		
TreeBest	treebest_best	TreeBeST best						To update	http://treesoft.sourceforge.net/treebest.shtml	Phylogenetics	treebest_best	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest	1.9.2.post0	treebest	1.9.2_ep78
apoc	apoc	Large-scale structural comparison of protein pockets						To update	http://cssb.biology.gatech.edu/APoc	Computational chemistry	apoc	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/apoc/	1.0+galaxy1	apoc	1b16
blast_parser	blast_parser	Convert 12- or 24-column BLAST output into 3-column hcluster_sg input						To update	https://github.com/TGAC/earlham-galaxytools/	Phylogenetics	blast_parser	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/blast_parser	0.1.2		
ete	ete_gene_csv_finder, ete_genetree_splitter, ete_homology_classifier, ete_init_taxdb, ete_lineage_generator, ete3_mod, ete_species_tree_generator	Analyse phylogenetic trees using the ETE Toolkit						To update	http://etetoolkit.org/	Phylogenetics	ete	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/ete	3.1.2	ete3	3.1.1
export_to_cluster	export_to_cluster	Export datasets to cluster						To update	https://github.com/TGAC/earlham-galaxytools/	Data Export	export_to_cluster	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/export_to_cluster/	0.0.2	EXPORT_DIR_PREFIX	
gblocks	gblocks	Gblocks						Up-to-date	http://molevol.cmima.csic.es/castresana/Gblocks.html	Sequence Analysis	gblocks	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/gblocks	0.91b	gblocks	0.91b
gstf_preparation	gstf_preparation	GeneSeqToFamily preparation converts data for the workflow						To update	https://github.com/TGAC/earlham-galaxytools/	Convert Formats	gstf_preparation	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/gstf_preparation	0.4.3	python	
