Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper version	Conda id	Conda version
TrimNs	trimns	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline						To update	https://github.com/VGP/vgp-assembly/tree/master/pipeline/bionano/trimNs	Assembly	trimns	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/trimN	0.1.0	trimns_vgp	1.0
abricate	abricate, abricate_list, abricate_summary	Mass screening of contigs for antiobiotic resistance genes	ABRicate	ABRicate	Mass screening of contigs for antimicrobial resistance or virulence genes.	Antimicrobial resistance prediction	Genomics, Microbiology	Up-to-date	https://github.com/tseemann/abricate	Sequence Analysis	abricate	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abricate/	1.0.1	abricate	1.0.1
abritamr	abritamr	A pipeline for running AMRfinderPlus and collating results into functional classes						Up-to-date	https://zenodo.org/record/7370628	Sequence Analysis	abritamr	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abritamr	1.0.14	abritamr	1.0.14
abyss	abyss-pe	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	abyss	ABySS	De novo genome sequence assembler using short reads.	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly	To update	http://www.bcgsc.ca/platform/bioinfo/software/abyss	Assembly	abyss	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abyss	2.3.6	abyss	2.3.7
adapter_removal	adapter_removal	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.	adapterremoval	AdapterRemoval	AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3' end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.	Sequence trimming, Sequence merging, Primer removal		Up-to-date	https://github.com/MikkelSchubert/adapterremoval	Fasta Manipulation, Sequence Analysis	adapter_removal	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/adapter_removal/	2.3.3	adapterremoval	2.3.3
add_input_name_as_column	addName	Add input name as column on an existing tabular file						To update	https://github.com/galaxyproject/tools-iuc/tree/master/tools/add_input_name_as_column	Text Manipulation	add_input_name_as_column	mvdbeek	https://github.com/galaxyproject/tools-iuc/tree/master/tools/add_input_name_as_column	0.2.0	python	
aegean	aegean_canongff3, aegean_gaeval, aegean_locuspocus, aegean_parseval	AEGeAn toolkit wrappers	gaeval	GAEVAL	Gene Annotation EVAluation.	Sequence annotation	Sequence analysis, Gene structure	Up-to-date	https://github.com/BrendelGroup/AEGeAn	Transcriptomics, Sequence Analysis	aegean	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/aegean	0.16.0	aegean	0.16.0
aldex2	aldex2	Performs analysis Of differential abundance taking sample variation into account	aldex2	ALDEx2	A differential abundance analysis for the comparison of two or more conditions. It uses a Dirichlet-multinomial model to infer abundance from counts, that has been optimized for three or more experimental replicates. Infers sampling variation and calculates the expected FDR given the biological and sampling variation using the Wilcox rank test and Welches t-test, or the glm and Kruskal Wallis tests. Reports both P and fdr values calculated by the Benjamini Hochberg correction.	Statistical inference	Gene expression, Statistics and probability	To update	https://github.com/ggloor/ALDEx_bioc	Metagenomics	aldex2	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/aldex2	1.26.0	bioconductor-aldex2	1.32.0
allegro	allegro	Linkage and haplotype analysis from deCODE	allegro	Allegro	It does simultaneous discovery of cis-regulatory motifs and their associated expression profiles. Its input are DNA sequences (typically, promoters or 3′ UTRs) and genome-wide expression profiles. Its output is the set of motifs found, and for each motif the set of genes it regulates (its transcriptional module). It is highly efficient and can analyze expression profiles of thousands of genes, measured across dozens of experimental conditions, along with all regulatory sequences in the genome.	Sequence motif discovery	Sequence analysis, Transcription factors and regulatory sites, DNA	To update	http://www.decode.com/software/	Variant Analysis	allegro	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/allegro/	@VER@.0	allegro	3
amplican	amplican	AmpliCan is an analysis tool for genome editing.	amplican	amplican	It performs alignment of the amplicon reads, normalizes gathered data, calculates multiple statistics (e.g. cut rates, frameshifts) and presents results in form of aggregated reports. Data and statistics can be broken down by experiments, barcodes, user defined groups, guides and amplicons allowing for quick identification of potential problems.	Alignment, Standardisation and normalisation	PCR experiment, Statistics and probability	To update	https://github.com/valenlab/amplican	Sequence Analysis	amplican	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/amplican	1.14.0	bioconductor-amplican	1.24.0
